fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
41,HEX0000041,Oceano,Marina,Baja California,4,0.35143631696701,0.0878590792417526,0.0869928151369095,0.0883394852280617
42,HEX0000042,Oceano,Marina,Baja California,5,0.4504274725914,0.09008549451828,0.088876873254776,0.090567871928215
43,HEX0000043,Oceano,Marina,Baja California,4,0.362800277769566,0.0907000694423914,0.0889074802398682,0.0918404385447502
44,HEX0000044,Oceano,Marina,Baja California,4,0.361220516264439,0.0903051290661097,0.0885136798024178,0.091767355799675
45,HEX0000045,Oceano,Marina,Baja California,5,0.415824688971043,0.0831649377942085,0.0814760625362396,0.0849216058850288
46,HEX0000046,Oceano,Marina,Baja California,5,0.407132148742676,0.0814264297485352,0.0803152173757553,0.0826193317770958
47,HEX0000047,Oceano,Marina,Baja California,4,0.349084585905075,0.0872711464762688,0.0863646939396858,0.0880255699157715
48,HEX0000048,Oceano,Marina,Baja California,4,0.335520870983601,0.0838802177459002,0.0838014855980873,0.0839680284261703
49,HEX0000049,Oceano,Marina,Baja California,4,0.341030649840832,0.0852576624602079,0.0821494087576866,0.0898901522159576
50,HEX0000050,Oceano,Marina,Baja California,4,0.341377042233944,0.085344260558486,0.0846339762210846,0.0859520807862282
51,HEX0000051,Oceano,Marina,Baja California,4,0.339465118944645,0.0848662797361612,0.0835021510720253,0.0866925492882729
52,HEX0000052,Oceano,Marina,Baja California,5,0.442878894507885,0.088575778901577,0.087430939078331,0.0896234959363937
53,HEX0000053,Oceano,Marina,Baja California,4,0.360297717154026,0.0900744292885065,0.0877146646380424,0.0919220298528671
54,HEX0000054,Oceano,Marina,Baja California,4,0.359751120209694,0.0899377800524235,0.0885049849748611,0.0910758078098297
55,HEX0000055,Oceano,Marina,Baja California,5,0.447823859751225,0.0895647719502449,0.0882210731506348,0.0904877483844757
56,HEX0000056,Oceano,Marina,Baja California,5,0.445995509624481,0.0891991019248962,0.0883735567331314,0.0897681638598442
57,HEX0000057,Oceano,Marina,Baja California,4,0.354176081717014,0.0885440204292536,0.0867338553071022,0.0906191617250443
58,HEX0000058,Oceano,Marina,Baja California,5,0.445502132177353,0.0891004264354706,0.0878414809703827,0.0903640314936638
59,HEX0000059,Oceano,Marina,Baja California,5,0.449524097144604,0.0899048194289207,0.0881712958216667,0.0908388197422028
60,HEX0000060,Oceano,Marina,Baja California,4,0.34929496049881,0.0873237401247025,0.0867117494344711,0.0878703519701958
61,HEX0000061,Oceano,Marina,Baja California,4,0.333086498081684,0.083271624520421,0.0820409506559372,0.0846062153577805
62,HEX0000062,Oceano,Marina,Baja California,5,0.429871805012226,0.0859743610024452,0.0830866694450378,0.0882931649684906
63,HEX0000063,Oceano,Marina,Baja California,4,0.360100626945496,0.0900251567363739,0.0867768004536629,0.0936767160892487
64,HEX0000064,Oceano,Marina,Baja California,6,0.573690615594387,0.0956151025990645,0.093470387160778,0.0971128344535828
65,HEX0000065,Oceano,Marina,Baja California,5,0.452257864177227,0.0904515728354454,0.0864321514964104,0.0948879197239876
66,HEX0000066,Oceano,Marina,Baja California,5,0.436853937804699,0.0873707875609398,0.085007019340992,0.0898219347000122
67,HEX0000067,Oceano,Marina,Baja California,4,0.344905354082584,0.0862263385206461,0.0855411216616631,0.0872277393937111
68,HEX0000068,Oceano,Marina,Baja California,5,0.417001560330391,0.0834003120660782,0.0821596905589104,0.0855034440755844
69,HEX0000069,Oceano,Marina,Baja California,5,0.420241102576256,0.0840482205152512,0.0821420550346375,0.0857817679643631
70,HEX0000070,Oceano,Marina,Baja California,4,0.357816644012928,0.089454161003232,0.088755264878273,0.0902508944272995
71,HEX0000071,Oceano,Marina,Baja California,4,0.355491138994694,0.0888727847486734,0.0881233736872673,0.0897252410650253
72,HEX0000072,Oceano,Marina,Baja California,6,0.538899958133698,0.0898166596889496,0.0865795984864235,0.0925451591610909
73,HEX0000073,Oceano,Marina,Baja California,4,0.37293703854084,0.09323425963521,0.0908605828881264,0.0948145836591721
74,HEX0000074,Oceano,Marina,Baja California,4,0.365876168012619,0.0914690420031548,0.0904835388064384,0.0927253067493439
75,HEX0000075,Oceano,Marina,Baja California,6,0.523617200553417,0.0872695334255695,0.0856477171182632,0.088071346282959
76,HEX0000076,Oceano,Marina,Baja California,4,0.370753586292267,0.0926883965730667,0.0921557545661926,0.093228779733181
77,HEX0000077,Oceano,Marina,Baja California,4,0.359984487295151,0.0899961218237877,0.0883631482720375,0.0918671563267708
78,HEX0000078,Oceano,Marina,Baja California,5,0.439137510955334,0.0878275021910667,0.0868470594286919,0.0900777354836464
79,HEX0000079,Oceano,Marina,Baja California,4,0.3513523042202,0.0878380760550499,0.0858223810791969,0.0899710208177567
80,HEX0000080,Oceano,Marina,Baja California,6,0.506115652620792,0.0843526087701321,0.0824630483984947,0.0857831463217735
81,HEX0000081,Oceano,Marina,Baja California,5,0.449895061552525,0.0899790123105049,0.0876931697130203,0.0921655967831612
82,HEX0000082,Oceano,Marina,Baja California,4,0.379526861011982,0.0948817152529955,0.0934288799762726,0.0970911979675293
83,HEX0000083,Oceano,Marina,Baja California,4,0.384107790887356,0.096026947721839,0.0941485464572906,0.0975804328918457
